Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
1.0,Female,73.0,No,Yes,Yes,No,0.0,United States,California,Escondido,92027.0,,33.141265,-116.967221,3.0,Q3,Yes,1.0,47.0,None,,26.95,No,Yes,Fiber Optic,26.0,,No,No,No,No,,No,Yes,Month-to-Month,No,,70.55,,,0.0,1266.6499999999999,4548.91,
1.0,Male,64.0,No,No,No,No,0.0,,California,Mt Baldy,,"34.231318, -117.662032",34.231318,-117.662032,4.0,Q3,No,0.0,50.0,Offer B,Yes,47.16,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.9,1195.25,0.0,0.0,2358.0,3553.25,
1.0,,23.0,Yes,No,,No,0.0,United States,California,San Diego,92119.0,,32.802959,-117.027095,5.0,,Yes,9.0,52.0,None,Yes,10.4,,Yes,DSL,85.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,75.4,3865.45,0.0,,540.8000000000001,4406.25,
1.0,Female,35.0,No,No,Yes,Yes,3.0,,,,,,,,,Q3,Yes,1.0,11.0,Offer D,Yes,29.01,No,No,None,0.0,No,No,,,No,,No,No,Month-to-Month,Yes,Credit Card,19.25,180.3,0.0,0.0,319.11,499.41,
1.0,Male,67.0,No,Yes,Yes,No,0.0,United States,California,Murrieta,,"33.581045, -117.14719",33.581045,-117.14719,,Q3,Yes,1.0,13.0,None,,31.7,Yes,Yes,Cable,6.0,No,,,No,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.65,48.09,0.0,412.09999999999997,,
1.0,Female,30.0,No,No,No,No,0.0,United States,California,Earlimart,93219.0,"35.858054, -119.305858",35.858054,-119.305858,,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,64.0,No,No,Yes,No,0.0,United States,California,,92028.0,"33.362575, -117.299644",33.362575,-117.299644,3.0,Q3,Yes,6.0,72.0,None,Yes,23.27,Yes,Yes,Fiber Optic,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,114.1,8086.4,,0.0,1675.44,9761.84,
,,23.0,Yes,No,,No,0.0,,,,,,,,1.0,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Male,71.0,No,Yes,No,No,0.0,United States,California,Potrero,91963.0,"32.619465, -116.593605",,-116.593605,4.0,Q3,No,0.0,,None,No,0.0,No,Yes,DSL,23.0,No,No,,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,50.05,2743.45,0.0,,0.0,2743.45,
,Male,29.0,No,No,No,No,0.0,United States,California,Cabazon,,"33.929812, -116.76058",33.929812,-116.76058,1.0,Q3,No,0.0,3.0,None,No,0.0,No,,DSL,85.0,Yes,Yes,No,No,,No,No,Yes,Month-to-Month,Yes,Credit Card,35.45,106.85,0.0,0.0,0.0,106.85,
1.0,,23.0,Yes,No,,No,0.0,,California,Silverado,,"33.782346, -117.635263",33.782346,-117.635263,,Q3,Yes,1.0,56.0,None,Yes,14.43,Yes,Yes,Fiber Optic,25.0,No,Yes,No,Yes,Yes,,Yes,,,Yes,Bank Withdrawal,107.25,6033.3,0.0,0.0,808.0799999999999,6841.38,
1.0,,57.0,No,No,Yes,Yes,3.0,United States,,Fresno,93703.0,,36.768774,-119.762633,5.0,Q3,Yes,8.0,68.0,None,Yes,7.47,Yes,Yes,DSL,29.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,78.45,5333.35,0.0,0.0,507.96,5841.31,
1.0,Female,49.0,No,No,No,No,0.0,United States,California,Cerritos,90703.0,"33.8681, -118.067402",,-118.067402,,,No,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Female,32.0,No,No,,No,0.0,,,,,,,,5.0,Q3,No,0.0,20.0,None,Yes,10.9,No,No,,0.0,No,No,No,No,No,No,No,No,,Yes,Credit Card,19.35,433.75,0.0,0.0,218.0,651.75,
1.0,Female,23.0,Yes,No,No,No,0.0,,,,,,,,,,No,0.0,66.0,,Yes,,No,Yes,DSL,,Yes,Yes,Yes,No,,No,No,Yes,Two Year,Yes,Bank Withdrawal,61.15,,0.0,,1410.42,5427.87,
